Situation,emotion,empathetic_dialogues
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,sad,"Customer :I am sorry to hear that. I hope you find a better opportunity. Did you know why they rejected you?
Agent :"
"A few years ago, my marriage broke up, and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude, it took a while to get used to it.",lonely,"Customer :I found myself divorced a few years ago, and for the first time in my life, I was living alone.
Agent :"
"A few years ago, my marriage broke up, and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude, it took a while to get used to it.",lonely,"Customer :Yes, I felt that way for a while. But then I grew used to the solitude.
Agent :"
"A few years ago, my marriage broke up, and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude, it took a while to get used to it.",lonely,"Customer :I felt sad and depressed due to my insecurities and felt rejected from society
Agent :"
I felt proud when I had accomplished a dream that I wanted to do for a long time. ,proud,"Customer :I felt proud when I had accomplished a dream that I wanted to do for a long time. It was absailing!!
Agent :"
I felt proud when I had accomplished a dream that I wanted to do for a long time. ,proud,"Customer :absailing, its when you rappeling down a building. What have you down that amazing?
Agent :"
I felt proud when I had accomplished a dream that I wanted to do for a long time. ,proud,"Customer :I'm not familiar with abseiling, but I'm glad that you felt good about it.
Agent :"
I felt proud when I had accomplished a dream that I wanted to do for a long time. ,proud,"Customer :Oh, I see. No, I've never done that.
Agent :"
When I spend time with my father outside by the fire when we are camping.,sentimental,"Customer :Hello
Agent :"
When I spend time with my father outside by the fire when we are camping.,sentimental,"Customer :Funny - we just built a house where we used to go camping when I was a kid. 
Agent :"
When I spend time with my father outside by the fire when we are camping.,sentimental,"Customer :That's wonderful. Do you have any plans to have a fire? 
Agent :"
When I spend time with my father outside by the fire when we are camping.,sentimental,"Customer :Hello! I am in such a good mood since I got my new home.
Agent :"
When I spend time with my father outside by the fire when we are camping.,sentimental,"Customer :I have a ton of backyard space that we have plans for. Camping would be a fun one.
Agent :"
I get wistful remembering my high school days.,nostalgic,"Customer :I'm nearing 40 and I find myself thinking a lot about my teen years and early twenties. The friends I had then and the fun we had.
Agent :"
I get wistful remembering my high school days.,nostalgic,"Customer :I don'
Agent :"
I get wistful remembering my high school days.,nostalgic,"Customer :That is where I am still at, I am scared I will have regrets when I get older
Agent :"
"I felt sad when my dog passed away. It was a pet that I had since I was 3 years old, and was one of the saddest days of my life.",sad,"Customer :Have you ever had a pet that you had to put down? I was so heartbroken when my dog of 16 years had to be put down. this was years ago but it still makes me sad to this day.
Agent :"
"I felt sad when my dog passed away. It was a pet that I had since I was 3 years old, and was one of the saddest days of my life.",sad,"Customer :That is true, we got her when I was 3 years old so I kind of grew up with her, I'll never forget those memories.
Agent :"
"I felt sad when my dog passed away. It was a pet that I had since I was 3 years old, and was one of the saddest days of my life.",sad,"Customer :That is heartbreaking, it's always helped me to remember that no matter what happens, you have your memories with them.
Agent :"
A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.,grateful,"Customer :One time I had a flat tire and my dad came to help me fix it.
Agent :"
A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.,grateful,"Customer :I ran over a nail in the road.  Now I know not to drive near new houses.
Agent :"
A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.,grateful,"Customer :Oh no! Glad your dad was able to help. How did it happen?
Agent :"
Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,sentimental,"Customer :My kid's birthday are coming up again. It always makes me remember them as babies.
Agent :"
Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,sentimental,"Customer :They are. All the sights and sounds of babies are so precious to remember.
Agent :"
Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,sentimental,"Customer :Awe how sweet, I bet those are good memories
Agent :"
"I was in a situation where I missed out on making some money, that caused me not to be happy.",sad,"Customer :I had a chance to make some money, but my phone screwed up
Agent :"
"I was in a situation where I missed out on making some money, that caused me not to be happy.",sad,"Customer :yes i did, but i still can not get that money
Agent :"
"I was in a situation where I missed out on making some money, that caused me not to be happy.",sad,"Customer :Thats terrible... have you gotten a new phone yet? 
Agent :"
When my partner went out of her way to make my day better. with gifts. ,nostalgic,"Customer :I was having a bad day the other day but my spouse went and surprised me with my favorite food. 
Agent :"
When my partner went out of her way to make my day better. with gifts. ,nostalgic,"Customer :I know it was rather sweet of them... i love anything asian! 
Agent :"
When my partner went out of her way to make my day better. with gifts. ,nostalgic,"Customer :whats your favorite food? that was very nice of them
Agent :"
"Finally got some yard work done , Love the smell of fresh cut grass.",proud,"Customer :I like getting things done in the yard,but I feel so dirty afterwards.
Agent :"
"Finally got some yard work done , Love the smell of fresh cut grass.",proud,"Customer :The grass makes me itchy, But the shower afterward feels great.
Agent :"
"Finally got some yard work done , Love the smell of fresh cut grass.",proud,"Customer :I only like yard work with the kids. They do most of the work and we have fun in the dirt.
Agent :"
"When I realized all the chocolate was gone, after a long day. ",sad,"Customer :So the other day I had a crazy long day and got home to find all of my chocolate was gone! 
Agent :"
"When I realized all the chocolate was gone, after a long day. ",sad,"Customer :I know right! ..., but atleast I had some amaretto in the fridge.. lol 
Agent :"
"When I realized all the chocolate was gone, after a long day. ",sad,"Customer :Oh my gosh! I would have been so upset! Nothing is better than chocolates on a bad day.
Agent :"
I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage. ,hopeful,"Customer :My marriage give me hopefulness about the life. exactly I want to say is may not it's marriage actually it's my wife given me the hope about the life. 
Agent :"
I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage. ,hopeful,"Customer :Yeah, thank you! at which situation did you feel hope for your life?
Agent :"
I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage. ,hopeful,"Customer :Wow! you're right. We should learn from kids. 
Agent :"
I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage. ,hopeful,"Customer :Wao, that sound like a great strong realtionship you have with her, so glad to hear that!
Agent :"
I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage. ,hopeful,"Customer :When my first daugther was born! i saw in new life, i thought everything in the world can change, we need to be pure as kids.
Agent :"
I came across an old keychain that my dad gave to me when I was younger. It was cool. ,sentimental,"Customer :The other day when I was cleaning I came across an old keychain my dad gave me when I was younger, it was nice to see. 
Agent :"
I came across an old keychain that my dad gave to me when I was younger. It was cool. ,sentimental,"Customer :Yeah it meant a lot to me - almost like a sign! 
Agent :"
I came across an old keychain that my dad gave to me when I was younger. It was cool. ,sentimental,"Customer :Thats good that you found the keychain
Agent :"
"My daughter used the potty for her first time the other day, it was awesome. ",proud,"Customer :So the other day my daughter went potty for the first time on her own! 
Agent :"
"My daughter used the potty for her first time the other day, it was awesome. ",proud,"Customer :Shes 18 months old, it really is amazing to see them develop. If only people clapped for us when we used the bathroom... ha ha 
Agent :"
"My daughter used the potty for her first time the other day, it was awesome. ",proud,"Customer :That is great. It is sweet to see them grow and learn. How old is she?
Agent :"
I cant wait for my house to sell.. its a slow market. ,hopeful,"Customer :My house feels like its taking forever to sell...but I have a feeling something good is going to come soon! 
Agent :"
I cant wait for my house to sell.. its a slow market. ,hopeful,"Customer :It's been almost 3 months now, but not 1 offer. 
Agent :"
I cant wait for my house to sell.. its a slow market. ,hopeful,"Customer :How long have you been trying to sell it for?
Agent :"
I have been in college for four years and am only a sophmore. I am going diuble my work load and finish next fall.,hopeful,"Customer :I have been going to school for whar seems like forever.
Agent :"
I have been in college for four years and am only a sophmore. I am going diuble my work load and finish next fall.,hopeful,"Customer :I did. I am going to finish soon though.
Agent :"
I have been in college for four years and am only a sophmore. I am going diuble my work load and finish next fall.,hopeful,"Customer :Did you wait a lot?
Agent :"
"I really want to win the lottery someday, maybe i will? ",hopeful,"Customer :So this is going to sound crazy but, one day I am going to win the lottery. 
Agent :"
"I really want to win the lottery someday, maybe i will? ",hopeful,"Customer :Pay off my debts from moving number 1, and then buy a house! What would you do with the money? 
Agent :"
"I really want to win the lottery someday, maybe i will? ",hopeful,"Customer :That would pretty amazing. What will you do with the winning?
Agent :"
I was given a large raise at work.,grateful,"Customer :Last month, my boss gave me a 10% raise, even though I didn't ask fo it. It was quite the welcome surprise!
Agent :"
I was given a large raise at work.,grateful,"Customer :Yeah, we have always gotten along well, and he has always been very supportive of me.
Agent :"
I was given a large raise at work.,grateful,"Customer :That is great. Probably he think that you are doing a great job.
Agent :"
Someone offered me a job online to make a lot of money. ,apprehensive,"Customer :Recently someone offered me an extreme amount of money for a work at home job... 
Agent :"
Someone offered me a job online to make a lot of money. ,apprehensive,"Customer :It sounded too good to be true honestly it made me feel a little uneasy... i had to turn it down! 
Agent :"
Someone offered me a job online to make a lot of money. ,apprehensive,"Customer :wow! That's awesome! Did you accept the job offer?
Agent :"
No one ever visits me anymore. I am always by myself in this apartment.,lonely,"Customer :I have lived in my apartment for 5 years now.
Agent :"
No one ever visits me anymore. I am always by myself in this apartment.,lonely,"Customer :It's getting smaller, but my friends used to come over more. Now I'm by myself all the time.
Agent :"
No one ever visits me anymore. I am always by myself in this apartment.,lonely,"Customer :O wow that is a long time, Are you happy with it?
Agent :"
No one ever visits me anymore. I am always by myself in this apartment.,lonely,"Customer :Im sorry to hear that sometimes people grow apart. You should try to throw a party and see who comes.
Agent :"
"not living near family, being in a new place. ",lonely,"Customer :I recently moved to my dream location, but it sucks not knowing anyone. 
Agent :"
"not living near family, being in a new place. ",lonely,"Customer :That actually sounds like a really good idea! Thank you... now to decide what to cook.. lol
Agent :"
"not living near family, being in a new place. ",lonely,"Customer :congratulations! I know, it probably feels lonely. Maybe you should do a party at your house and invite all the neighbours
Agent :"
I just found out they are not making a sequel to a movie I like.,sad,"Customer :So they just posted online about how they are not making a sequel to Hot Fuzz.
Agent :"
I just found out they are not making a sequel to a movie I like.,sad,"Customer :I guess it just did not get enough funding. It just sucks because it is my favorite movie.
Agent :"
I just found out they are not making a sequel to a movie I like.,sad,"Customer :Oh no. Did they say why?
Agent :"
I just found out they are not making a sequel to a movie I like.,sad,"Customer :Hopefully it might be reconsidered later on.
Agent :"
I was able to save a blind lady from falling down an escalator.,proud,"Customer :I was able to save a blind lady from falling down an escalator.
Agent :"
I was able to save a blind lady from falling down an escalator.,proud,"Customer :She was very alarmed and rightfully so. I'm usually not a nice person, but I'm glad I did the right thing that time!
Agent :"
I was able to save a blind lady from falling down an escalator.,proud,"Customer :Is she ok? Im glad you were close by!
Agent :"
A few years ago when my grandmother died unexpectedly.,sad,"Customer :My grandmother passed away unexpectedly a few years ago.
Agent :"
A few years ago when my grandmother died unexpectedly.,sad,"Customer :Yes it is. She was the grandparent I was closest to.
Agent :"
A few years ago when my grandmother died unexpectedly.,sad,"Customer :Yes, I believe that time is the best way to heal.
Agent :"
A few years ago when my grandmother died unexpectedly.,sad,"Customer :oh no sorry to hear that. I just lost mine in November. It's hard.
Agent :"
A few years ago when my grandmother died unexpectedly.,sad,"Customer :People say it gets easier. I'm still waiting for that part.
Agent :"
A few years ago when my grandmother died unexpectedly.,sad,"Customer :I hope so. Nice chatting with you.
Agent :"
My old high school is being turned into an old people's apartments building. So sad. ,nostalgic,"Customer :My old high school is being sold and turned into an old people's apartment complex. Sad to see it go. 
Agent :"
My old high school is being turned into an old people's apartments building. So sad. ,nostalgic,"Customer :Yes, They consolidated and it's awful. The kids now have a thirty minute bus ride one way to school.
Agent :"
My old high school is being turned into an old people's apartments building. So sad. ,nostalgic,"Customer :Nostalgia. Is there another HS nearby for the kids to go to?
Agent :"
My old high school is being turned into an old people's apartments building. So sad. ,nostalgic,"Customer :That's pretty terrible. Thirty minutes in a day pretty much just commuting one way. School is already tough.
Agent :"
I was grateful when my mother visited me for my birthday.,grateful,"Customer :It was my birthday and my mother came to surprise me.
Agent :"
I was grateful when my mother visited me for my birthday.,grateful,"Customer :She showed up to my house and brought me a cake.
Agent :"
I was grateful when my mother visited me for my birthday.,grateful,"Customer :Aw thats so nice, how did she surprise you? 
Agent :"
I shouldn't have to cook on my birthday. This is when I miss having a boyfriend.,sad,"Customer :It makes me sad to be single nowadays.
Agent :"
I shouldn't have to cook on my birthday. This is when I miss having a boyfriend.,sad,"Customer :IF two years is recent lol. Today is my birthday and I don't want to cook.
Agent :"
I shouldn't have to cook on my birthday. This is when I miss having a boyfriend.,sad,"Customer :Did you go through a breakup recently?
Agent :"
I shouldn't have to cook on my birthday. This is when I miss having a boyfriend.,sad,"Customer :Happy Birthday! Well, you can order out of course. 
Agent :"
"I've been taking care of my aging mom for 5 years now and don't really have any friends, since so much time is used taking care of her.",lonely,"Customer :I've been taking care of my aging mom for 5 years now and don't really have any friends, since so much time is used taking care of her.
Agent :"
"I've been taking care of my aging mom for 5 years now and don't really have any friends, since so much time is used taking care of her.",lonely,"Customer :Thank you. Can't afford outside help unfortunatley. Yes. I have picked up exercising though.
Agent :"
"I've been taking care of my aging mom for 5 years now and don't really have any friends, since so much time is used taking care of her.",lonely,"Customer :That is a nice thing you are doing for her though. Maybe you could hire somebody for a few hours a week and join a gym or yoga class. 
Agent :"
"My mom has arthritis in her neck, and the pain seems to be traveling down now.",sad,"Customer :My mom has arthritis in her neck, and the pain seems to be traveling down now.
Agent :"
"My mom has arthritis in her neck, and the pain seems to be traveling down now.",sad,"Customer :The doctor just recommended exercise. I'm not sure if they were just busy to do anymore for her or if exercise is the best.
Agent :"
"My mom has arthritis in her neck, and the pain seems to be traveling down now.",sad,"Customer :I am sorry to hear that.. is there any physical therapy that can help her? 
Agent :"
My mom went back to school at 63 and recently got her bachelor's in computer science!,proud,"Customer :My mom went back to school at 63 and recently got her bachelor's in computer science!
Agent :"
My mom went back to school at 63 and recently got her bachelor's in computer science!,proud,"Customer :Yea. I mean I can't even code. And there goes my mom who didn't even know a browser was, now coding!
Agent :"
My mom went back to school at 63 and recently got her bachelor's in computer science!,proud,"Customer :Wow That's amazing. You must be very proud of her.  I think coding, etc, seems very hard.
Agent :"
"I finally finished my phlebotomy class. It was an hours drive one way, yuck. But thankfully it's over and I can try to get on at a local Hospital. They are hiring I heard.",grateful,"Customer :I finally finished my Phlebotomy class . It was an hour's drive one way, but thankfully it's over and a hospital nearby is hiring I heard. Whew!
Agent :"
"I finally finished my phlebotomy class. It was an hours drive one way, yuck. But thankfully it's over and I can try to get on at a local Hospital. They are hiring I heard.",grateful,"Customer :I would probably tell them to look the other way and that it really isn't very painful. 
Agent :"
"I finally finished my phlebotomy class. It was an hours drive one way, yuck. But thankfully it's over and I can try to get on at a local Hospital. They are hiring I heard.",grateful,"Customer :That's amazing! How do you anticipate dealing with people who are afraid of needles?
Agent :"
"I finally finished my phlebotomy class. It was an hours drive one way, yuck. But thankfully it's over and I can try to get on at a local Hospital. They are hiring I heard.",grateful,"Customer :That's good thinking. I hope you won't get too many who are afraid!
Agent :"
I bought a lottery ticket and was hopeful I would win.,hopeful,"Customer :I bought a lottery ticket and have a feeling I will win.
Agent :"
I bought a lottery ticket and was hopeful I would win.,hopeful,"Customer :I know my chances are not good but maybe I can get lucky.
Agent :"
I bought a lottery ticket and was hopeful I would win.,hopeful,"Customer :Good luck! I hope you'll win!
Agent :"
"My birthday was last weekend, and no one wished me a Happy Birthday.",sad,"Customer :My birthday was last weekend, and no one wished me a Happy Birthday.
Agent :"
"My birthday was last weekend, and no one wished me a Happy Birthday.",sad,"Customer :It is. I've been absorbed in work for the last 3 years and haven't gone out. So I guess everyone kinda moved on without me.
Agent :"
"My birthday was last weekend, and no one wished me a Happy Birthday.",sad,"Customer :I'm so sorry to hear that. How sad for you.
Agent :"
I was told my cat only has a few weeks to live.,sad,"Customer :The vet told me my cat only has a few weeks left to live.
Agent :"
I was told my cat only has a few weeks to live.,sad,"Customer :I plan on it! He is really old so it is just his time to go and I get that but that doesnt make it any easier.
Agent :"
I was told my cat only has a few weeks to live.,sad,"Customer :Thats so terrible! :( Im really sorry... you should do something special everyday and make memories! 
Agent :"
I was told my cat only has a few weeks to live.,sad,"Customer :It really doesnt.. i had to put my dog to sleep and it was extremely painful. I really hope that he can rest without pain and that you can feel better soon.. 
Agent :"
when my dog died ,sad,"Customer :I had to put my dog to sleep and it was super stressing! :( 
Agent :"
when my dog died ,sad,"Customer :Thanks, it always sucks when you have to say goodbye.. but shes better off now without pain. Do you have any pets? 
Agent :"
when my dog died ,sad,"Customer :oh no. I'm sorry to hear that.
Agent :"
"I'm trying to sell my house. It's been on the market for a year now, but I think I found someone who might buy it.  I'm trying to move to another area.",hopeful,"Customer :I think I found someone that's interested in my house finally . It's been on the market for over a year now. 
Agent :"
"I'm trying to sell my house. It's been on the market for a year now, but I think I found someone who might buy it.  I'm trying to move to another area.",hopeful,"Customer :I will move to a less rural area. It's very isolated and you have to have a vehicle for transportation.
Agent :"
"I'm trying to sell my house. It's been on the market for a year now, but I think I found someone who might buy it.  I'm trying to move to another area.",hopeful,"Customer :That can be stressful. I hope you get the sale. What will you do afterwards?
Agent :"
"I'm trying to sell my house. It's been on the market for a year now, but I think I found someone who might buy it.  I'm trying to move to another area.",hopeful,"Customer :Do you prefer the isolation?
Agent :"
"Just moved here for work, and I don't know anyone. My coworkers have families of their own.",lonely,"Customer :Just moved here for work, and I don't know anyone. My coworkers have families of their own.
Agent :"
"Just moved here for work, and I don't know anyone. My coworkers have families of their own.",lonely,"Customer :Yea. It's going to take some time. It's just tough going through it right now.
Agent :"
"Just moved here for work, and I don't know anyone. My coworkers have families of their own.",lonely,"Customer :That's sucks. You just have to warm up to people.
Agent :"
Went for a visit to the place I grew up and it has gone down hill a lot since I was there last. Very sad. A lot of the houses look so run down and dilapidated. ,nostalgic,"Customer :I visited my old home town recently and it has gone down hill so much.  A lot of the houses are run down and dilapidated. So sad.
Agent :"
Went for a visit to the place I grew up and it has gone down hill a lot since I was there last. Very sad. A lot of the houses look so run down and dilapidated. ,nostalgic,"Customer :Yeah, I got to see a few people I knew . It was still fun
Agent :"
Went for a visit to the place I grew up and it has gone down hill a lot since I was there last. Very sad. A lot of the houses look so run down and dilapidated. ,nostalgic,"Customer :That sucks..... always bad to see something like that. Did you atleast enjoy your trip? 
Agent :"
Went for a visit to the place I grew up and it has gone down hill a lot since I was there last. Very sad. A lot of the houses look so run down and dilapidated. ,nostalgic,"Customer :Aw thats good! Im glad you still had a good time. 
Agent :"
My daughter started a new school last year. She s adjusting great and had made a lot of friends.,proud,"Customer :MY daughter started a new school last year.
Agent :"
My daughter started a new school last year. She s adjusting great and had made a lot of friends.,proud,"Customer :I was more afraid than she was. It was a big transistion. All girls and she is 13.
Agent :"
My daughter started a new school last year. She s adjusting great and had made a lot of friends.,proud,"Customer :That is exciting and scary all at the same time
Agent :"
My daughter started a new school last year. She s adjusting great and had made a lot of friends.,proud,"Customer :I could understand that, Does she know anyone at her new school?
Agent :"
I once went to see fireworks with my best friend. Best day of my life. We're no longer friends.,sentimental,"Customer :I once went to see fireworks with my best friend. Best day of my life. We're no longer friends.
Agent :"
I once went to see fireworks with my best friend. Best day of my life. We're no longer friends.,sentimental,"Customer :No. I am too embarassed to reach out to her after all these years.
Agent :"
I once went to see fireworks with my best friend. Best day of my life. We're no longer friends.,sentimental,"Customer :What a beautiful memory that you will always have though... have you tried to be friends again? 
Agent :"
I saw that they are going to remake a movie I like a lot.,nostalgic,"Customer :So I just saw how they are going to have a remake of Fist of Fury.
Agent :"
I saw that they are going to remake a movie I like a lot.,nostalgic,"Customer :It is a old movie that came out in the 80s. I remember seeing it as a kid!
Agent :"
I saw that they are going to remake a movie I like a lot.,nostalgic,"Customer :I have no idea what that is.
Agent :"
I saw that they are going to remake a movie I like a lot.,nostalgic,"Customer :Oh is it and action movie.
Agent :"
I finally rearranged the garage after a year of putting it off,proud,"Customer :So after a year of being here we finally got to rearrange the garage.
Agent :"
I finally rearranged the garage after a year of putting it off,proud,"Customer :I think we will be able to get two cars in here now!
Agent :"
I finally rearranged the garage after a year of putting it off,proud,"Customer :How is it looking? 
Agent :"
I lost my cat to old age and cried all night about it.,sad,"Customer :So my cat of 10 years past away last night. I dont know what to do
Agent :"
I lost my cat to old age and cried all night about it.,sad,"Customer :He is really old but I hate that it happened you know?
Agent :"
I lost my cat to old age and cried all night about it.,sad,"Customer :oh no. I'm sorry to hear that.
Agent :"
I lost my wallet and had to get all new cards,sad,"Customer :So I lost my wallet and had to get a new ID issued to me.
Agent :"
I lost my wallet and had to get all new cards,sad,"Customer :I usually dont have much cash on me but the cards are hard to replace.
Agent :"
I lost my wallet and had to get all new cards,sad,"Customer :I hope someone turns it in soon to you.. did you lose out on money too? 
Agent :"
I wish I had someone to spend my days with. I feel a alone.,lonely,"Customer :I should really try to get a girlfriend or something. I just need to feel someone.
Agent :"
I wish I had someone to spend my days with. I feel a alone.,lonely,"Customer :Yeah I just feel like it is no use. 
Agent :"
I wish I had someone to spend my days with. I feel a alone.,lonely,"Customer :Try online dating! Its actually really fun... have you tried it? 
Agent :"
I wish I had someone to spend my days with. I feel a alone.,lonely,"Customer :Dont feel that way... theres someone out there for everyone. Give it a try. :) 
Agent :"
I was sad when my grandma died.,sad,"Customer :My grandma died. I am so sad.
Agent :"
I was sad when my grandma died.,sad,"Customer :Age but she also smoked.
Agent :"
I was sad when my grandma died.,sad,"Customer :Im sorry to hear that. Was it from age or complications?
Agent :"
"I'be been thinking a lot about my childhood lately, sort or reminiscing.",sentimental,"Customer :I miss my family members as they all pretty much gone now...
Agent :"
"I'be been thinking a lot about my childhood lately, sort or reminiscing.",sentimental,"Customer :Yeah, as you get older you have to face the fact of loved ones not being around forever.
Agent :"
"I'be been thinking a lot about my childhood lately, sort or reminiscing.",sentimental,"Customer :Sorry to hear that.
Agent :"
"I'be been thinking a lot about my childhood lately, sort or reminiscing.",sentimental,"Customer :Yes. I have lost my grandma.
Agent :"
I am grateful to be alive.,grateful,"Customer :I almost died last year.
Agent :"
I am grateful to be alive.,grateful,"Customer :Yes I was very lucky.
Agent :"
I am grateful to be alive.,grateful,"Customer :That is a terrible thing to happen, I'm sure...
Agent :"
I got a huge bonus at work and was able to pay off my debt.,grateful,"Customer :So i got a huge bonus at work last week!
Agent :"
I got a huge bonus at work and was able to pay off my debt.,grateful,"Customer :It was enough that I was able to pay off my car and a lot of bills.
Agent :"
I got a huge bonus at work and was able to pay off my debt.,grateful,"Customer :How much?
Agent :"
I got a huge bonus at work and was able to pay off my debt.,grateful,"Customer :Cool. What kind of car.
Agent :"
I am hopeful I win the lottery.,hopeful,"Customer :I hope I win the lottery this week.
Agent :"
I am hopeful I win the lottery.,hopeful,"Customer :Maybe we can split it if we win.
Agent :"
I am hopeful I win the lottery.,hopeful,"Customer :I think it's my turn to win the lottery
Agent :"
I am proud I graduated college.,proud,"Customer :I am so happy I graduated college.
Agent :"
I am proud I graduated college.,proud,"Customer :Yes and I had a 4.0
Agent :"
I am proud I graduated college.,proud,"Customer :I bet! It has to feel like a huge accomplishment.
Agent :"
I think eventuallt the presidency is going to go in a more positive direction,hopeful,"Customer :How about our president huh?
Agent :"
I think eventuallt the presidency is going to go in a more positive direction,hopeful,"Customer :Lol. There is no joy here. But I think the only way to go is up now.
Agent :"
I think eventuallt the presidency is going to go in a more positive direction,hopeful,"Customer :I'm not actually in America so I don't share the same joy as you :p
Agent :"
Went to the beach the other day and remember how much my friend liked going together.,sentimental,"Customer :Went to the beach the other day and remember how much my friend liked going together.
Agent :"
Went to the beach the other day and remember how much my friend liked going together.,sentimental,"Customer :Yea. I enjoyed it alot. That's why it made me think of my buddy.
Agent :"
Went to the beach the other day and remember how much my friend liked going together.,sentimental,"Customer :oh, did you enjoy it? I love going to the beach
Agent :"
I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.,grateful,"Customer :I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.
Agent :"
I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.,grateful,"Customer :It's enough to pay 1 year's worth of mortgage. Wondering if I should sell it or hold now.
Agent :"
I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.,grateful,"Customer :Wow! Have you looked to see how much it is worth? You could have some money.
Agent :"
"I just applied for a promotion, and I should earn at least 10k more.",hopeful,"Customer :I just applied for a promotion, and I should earn at least 10k more.
Agent :"
"I just applied for a promotion, and I should earn at least 10k more.",hopeful,"Customer :I hope so! It will help finances a lot.
Agent :"
"I just applied for a promotion, and I should earn at least 10k more.",hopeful,"Customer :That's awesome. Do you think you will get it?
Agent :"
I was going through old photos of my family and when I was younger.,nostalgic,"Customer :Last time I was at my parent's house I went through some old photo albums and started reminiscing.
Agent :"
I was going through old photos of my family and when I was younger.,nostalgic,"Customer :I just thought about how easy and carefree life was when I was a child. I was never alone and always had something to do.
Agent :"
I was going through old photos of my family and when I was younger.,nostalgic,"Customer :What did you think about?
Agent :"
